Date_inf,Inflation_variation,,,,,,,,,,,
01/12/2020,0.10,,,,,,,,,,,
01/01/2021,0.06,,,,,,,,,,,
01/02/2021,1.52,,,,,,,,,,,
01/03/2021,-0.27,,,,,,,,,,,
01/04/2021,-0.04,,,,,,,,,,,
01/05/2021,0.16,,,,,,,,,,,
01/06/2021,0.17,,,,,,,,,,,
01/07/2021,0.62,,,,,,,,,,,
01/08/2021,0.25,,,,,,,,,,,
01/09/2021,-0.62,,,,,,,,,,,
01/10/2021,-0.20,,,,,,,,,,,
01/11/2021,0.32,,,,,,,,,,,
01/12/2021,-0.18,,,,,,,,,,,
01/01/2022,0.19,,,,,,,,,,,
01/02/2022,1,,,,,,,,,,,
01/03/2022,0.70,,,,,,,,,,,
01/04/2022,0.18,,,,,,,,,,,
01/05/2022,0.38,,,,,,,,,,,
01/06/2022,0.69,,,,,,,,,,,
